reviewer,relevant,title,original_authors,url,extracted_author,affiliations
DW,True,Log Parsing with Prompt-Based Few-Shot Learning,"Le, Van-Hoang, Zhang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00204,Van-Hoang Le,"School of Information and Physical Sciences, The University of Newcastle,Australia"
DW,True,Log Parsing with Prompt-Based Few-Shot Learning,"Le, Van-Hoang, Zhang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00204,Hongyu Zhang,"School of Big Data and Software Engineering, Chongqing University,China"
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Yuchao Huang,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China"
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Junjie Wang,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China"
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Zhe Liu,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China"
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Song Wang,"York University,Electrical Engineering and Computer Science,Canada"
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Chunyang Chen,"Monash University,Melbourne,Australia"
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Mingyang Li,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China"
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Qing Wang,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China"
N/A,False,Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Wen, Xin-Cheng, Chen, Yupan, Gao, Cuiyun, Zhang, Hongyu, Zhang, Jie M., Liao, Qing",https://doi.org/10.1109/ICSE48619.2023.00191,Xin-Cheng Wen,"School of Computer Science and Technology, Harbin Institute of Technology,Shenzhen,China"
N/A,False,Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Wen, Xin-Cheng, Chen, Yupan, Gao, Cuiyun, Zhang, Hongyu, Zhang, Jie M., Liao, Qing",https://doi.org/10.1109/ICSE48619.2023.00191,Yupan Chen,"School of Computer Science and Technology, Harbin Institute of Technology,Shenzhen,China"
N/A,False,Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Wen, Xin-Cheng, Chen, Yupan, Gao, Cuiyun, Zhang, Hongyu, Zhang, Jie M., Liao, Qing",https://doi.org/10.1109/ICSE48619.2023.00191,Cuiyun Gao,"School of Computer Science and Technology, Harbin Institute of Technology,Shenzhen,China"
N/A,False,Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Wen, Xin-Cheng, Chen, Yupan, Gao, Cuiyun, Zhang, Hongyu, Zhang, Jie M., Liao, Qing",https://doi.org/10.1109/ICSE48619.2023.00191,Hongyu Zhang,"School of Big Data and Software Engineering, Chongqing University,China"
N/A,False,Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Wen, Xin-Cheng, Chen, Yupan, Gao, Cuiyun, Zhang, Hongyu, Zhang, Jie M., Liao, Qing",https://doi.org/10.1109/ICSE48619.2023.00191,Jie M. Zhang,"King&#x0027;s College,Department of Informatics,London,UK"
N/A,False,Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Wen, Xin-Cheng, Chen, Yupan, Gao, Cuiyun, Zhang, Hongyu, Zhang, Jie M., Liao, Qing",https://doi.org/10.1109/ICSE48619.2023.00191,Qing Liao,"School of Computer Science and Technology, Harbin Institute of Technology,Shenzhen,China"
N/A,False,DIVER: Oracle-Guided SMT Solver Testing with Unrestricted Random Mutations,"Kim, Jongwook, So, Sunbeom, Oh, Hakjoo",https://doi.org/10.1109/ICSE48619.2023.00187,Jongwook Kim,"Korea University,Republic of Korea"
