reviewer,relevant,title,original_authors,url,extracted_author,affiliations,country
DW,True,Log Parsing with Prompt-Based Few-Shot Learning,"Le, Van-Hoang, Zhang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00204,Van-Hoang Le,"School of Information and Physical Sciences, The University of Newcastle,Australia",Australia
DW,True,Log Parsing with Prompt-Based Few-Shot Learning,"Le, Van-Hoang, Zhang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00204,Hongyu Zhang,"School of Big Data and Software Engineering, Chongqing University,China",China
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Yuchao Huang,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China",China
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Junjie Wang,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China",China
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Zhe Liu,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China",China
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Song Wang,"York University,Electrical Engineering and Computer Science,Canada",Canada
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Chunyang Chen,"Monash University,Melbourne,Australia",Australia
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Mingyang Li,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China",China
DW,True,Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196,Qing Wang,"Science and Technology on Integrated Information System Laboratory, Institute of Software Chinese Academy of Sciences,Beijing,China",China
,False,Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Wen, Xin-Cheng, Chen, Yupan, Gao, Cuiyun, Zhang, Hongyu, Zhang, Jie M., Liao, Qing",https://doi.org/10.1109/ICSE48619.2023.00191,Xin-Cheng Wen,"School of Computer Science and Technology, Harbin Institute of Technology,Shenzhen,China",China
