title,authors,url
Log Parsing with Prompt-Based Few-Shot Learning,"Le, Van-Hoang, Zhang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00204
Context-Aware Bug Reproduction for Mobile Apps,"Huang, Yuchao, Wang, Junjie, Liu, Zhe, Wang, Song, Chen, Chunyang, Li, Mingyang, Wang, Qing",https://doi.org/10.1109/ICSE48619.2023.00196
Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,"Wen, Xin-Cheng, Chen, Yupan, Gao, Cuiyun, Zhang, Hongyu, Zhang, Jie M., Liao, Qing",https://doi.org/10.1109/ICSE48619.2023.00191
DIVER: Oracle-Guided SMT Solver Testing with Unrestricted Random Mutations,"Kim, Jongwook, So, Sunbeom, Oh, Hakjoo",https://doi.org/10.1109/ICSE48619.2023.00187
On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Mastropaolo, Antonio, Pascarella, Luca, Guglielmi, Emanuela, Ciniselli, Matteo, Scalabrino, Simone, Oliveto, Rocco, Bavota, Gabriele",https://doi.org/10.1109/ICSE48619.2023.00181
Learning Deep Semantics for Test Completion,"Nie, Pengyu, Banerjee, Rahul, Li, Junyi Jessy, Mooney, Raymond J., Gligoric, Milos",https://doi.org/10.1109/ICSE48619.2023.00178
ViolationTracker: Building Precise Histories for Static Analysis Violations,"Yu, Ping, Wu, Yijian, Peng, Xin, Peng, Jiahan, Zhang, Jian, Xie, Peicheng, Zhao, Wenyun",https://doi.org/10.1109/ICSE48619.2023.00171
Developers' Visuo-Spatial Mental Model and Program Comprehension,"Bouraffa, Abir, Fuhrmann, Gian-Luca, Maalej, Walid",https://doi.org/10.1109/ICSE48619.2023.00163
Reliability Assurance for Deep Neural Network Architectures against Numerical Defects,"Li, Linyi, Zhang, Yuhao, Ren, Luyao, Xiong, Yingfei, Xie, Tao",https://doi.org/10.1109/ICSE48619.2023.00156
Fairify: Fairness Verification of Neural Networks,"Biswas, Sumon, Rajan, Hridesh",https://doi.org/10.1109/ICSE48619.2023.00134
Testability Refactoring in Pull Requests: Patterns and Trends,"Reich, Pavel, Maalej, Walid",https://doi.org/10.1109/ICSE48619.2023.00131
Faster or Slower? Performance Mystery of Python Idioms Unveiled with Empirical Evidence,"Zhang, Zejun, Xing, Zhenchang, Xia, Xin, Xu, Xiwei, Zhu, Liming, Lu, Qinghua",https://doi.org/10.1109/ICSE48619.2023.00130
Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Yang, Chenyuan, Deng, Yinlin, Yao, Jiayi, Tu, Yuxing, Li, Hanchi, Zhang, Lingming",https://doi.org/10.1109/ICSE48619.2023.00105
Detecting Exception Handling Bugs in C++ Programs,"Zhang, Hao, Luo, Ji, Hu, Mengze, Yan, Jun, Zhang, Jian, Qiu, Zongyan",https://doi.org/10.1109/ICSE48619.2023.00098
Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094
Efficiency Matters: Speeding Up Automated Testing with GUI Rendering Inference,"Feng, Sidong, Xie, Mulong, Chen, Chunyang",https://doi.org/10.1109/ICSE48619.2023.00084
How Do Developers' Profiles and Experiences Influence their Logging Practices? An Empirical Study of Industrial Practitioners,"Rong, Guoping, Gu, Shenghui, Shen, Haifeng, Zhang, He, Kuang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00080
Revisiting Learning-Based Commit Message Generation,"Dong, Jinhao, Lou, Yiling, Hao, Dan, Tan, Lin",https://doi.org/10.1109/ICSE48619.2023.00075
Using Reactive Synthesis: An End-to-End Exploratory Case Study,"Ma'ayan, Dor, Maoz, Shahar",https://doi.org/10.1109/ICSE48619.2023.00071
Concrat: An Automatic C-to-Rust Lock API Translator for Concurrent Programs,"Hong, Jaemin, Ryu, Sukyoung",https://doi.org/10.1109/ICSE48619.2023.00069
From Organizations to Individuals: Psychoactive Substance Use by Professional Programmers,"Newman, Kaia, Endres, Madeline, Weimer, Westley, Johnson, Brittany",https://doi.org/10.1109/ICSE48619.2023.00065
ECSTATIC: An Extensible Framework for Testing and Debugging Configurable Static Analysis,"Mordahl, Austin, Zhang, Zenong, Soles, Dakota, Wei, Shiyi",https://doi.org/10.1109/ICSE48619.2023.00056
Practical and Efficient Model Extraction of Sentiment Analysis APIs,"Wu, Weibin, Zhang, Jianping, Wei, Victor Junqiu, Chen, Xixian, Zheng, Zibin, King, Irwin, Lyu, Michael R.",https://doi.org/10.1109/ICSE48619.2023.00054
BFTDETECTOR: Automatic Detection of Business Flow Tampering for Digital Content Service,"Kim, I Luk, Wang, Weihang, Kwon, Yonghwi, Zhang, Xiangyu",https://doi.org/10.1109/ICSE48619.2023.00048
Evaluating and Improving Hybrid Fuzzing,"Jiang, Ling, Yuan, Hengchen, Wu, Mingyuan, Zhang, Lingming, Zhang, Yuqun",https://doi.org/10.1109/ICSE48619.2023.00045
SmartMark: Software Watermarking Scheme for Smart Contracts,"Kim, Taeyoung, Jang, Yunhee, Lee, Chanjong, Koo, Hyungjoon, Kim, Hyoungshick",https://doi.org/10.1109/ICSE48619.2023.00035
How Do We Read Formal Claims? Eye-Tracking and the Cognition of Proofs about Algorithms,"Ahmad, Hammad, Karas, Zachary, Diaz, Kimberly, Kamil, Amir, Jeannin, Jean-Baptiste, Weimer, Westley",https://doi.org/10.1109/ICSE48619.2023.00029
Operand-Variation-Oriented Differential Analysis for Fuzzing Binding Calls in PDF Readers,"Guo, Suyue, Wan, Xinyu, You, Wei, Liang, Bin, Shi, Wenchang, Zhang, Yiwei, Huang, Jianjun, Zhang, Jian",https://doi.org/10.1109/ICSE48619.2023.00020
One Adapter for All Programming Languages? Adapter Tuning for Code Search and Summarization,"Wang, Deze, Chen, Boxing, Li, Shanshan, Luo, Wei, Peng, Shaoliang, Dong, Wei, Liao, Xiangke",https://doi.org/10.1109/ICSE48619.2023.00013
Future Software for Life in Trusted Futures,"Pink, Sarah",https://doi.org/10.1109/ICSE48619.2023.00010
ICSE '23: Proceedings of the 45th International Conference on Software Engineering,,
Finding Causally Different Tests for an Industrial Control System,"Poskitt, Christopher M., Chen, Yuqi, Sun, Jun, Jiang, Yu",https://doi.org/10.1109/ICSE48619.2023.00215
Metamorphic Shader Fusion for Testing Graphics Shader Compilers,"Xiao, Dongwei, Liu, Zhibo, Wang, Shuai",https://doi.org/10.1109/ICSE48619.2023.00201
DUETCS: Code Style Transfer through Generation and Retrieval,"Chen, Binger, Abedjan, Ziawasch",https://doi.org/10.1109/ICSE48619.2023.00198
On the Reproducibility of Software Defect Datasets,"Zhu, Hao-Nan, Rubio-Gonz\'{a",https://doi.org/10.1109/ICSE48619.2023.00195
An Empirical Study of Deep Learning Models for Vulnerability Detection,"Steenhoek, Benjamin, Rahman, Md Mahbubur, Jiles, Richard, Le, Wei",https://doi.org/10.1109/ICSE48619.2023.00188
Safe Low-Level Code without Overhead is Practical,"Pirelli, Solal",https://doi.org/10.1109/ICSE48619.2023.00183
Two Sides of the Same Coin: Exploiting the Impact of Identifiers in Neural Code Comprehension,"Gao, Shuzheng, Gao, Cuiyun, Wang, Chaozheng, Sun, Jun, Lo, David, Yu, Yue",https://doi.org/10.1109/ICSE48619.2023.00164
Aries: Efficient Testing of Deep Neural Networks via Labeling-Free Accuracy Estimation,"Hu, Qiang, Guo, Yuejun, Xie, Xiaofei, Cordy, Maxime, Papadakis, Mike, Ma, Lei, Traon, Yves Le",https://doi.org/10.1109/ICSE48619.2023.00152
Measuring and Mitigating Gaps in Structural Testing,"Hossain, Soneya Binta, Dwyer, Matthew B., Elbaum, Sebastian, Nguyen-Tuong, Anh",https://doi.org/10.1109/ICSE48619.2023.00147
Keyword Extraction from Specification Documents for Planning Security Mechanisms,"Poozhithara, Jeffy Jahfar, Asuncion, Hazeline U., Lagesse, Brent",https://doi.org/10.1109/ICSE48619.2023.00143
Leveraging Feature Bias for Scalable Misprediction Explanation of Machine Learning Models,"Gesi, Jiri, Shen, Xinyun, Geng, Yunfan, Chen, Qihong, Ahmed, Iftekhar",https://doi.org/10.1109/ICSE48619.2023.00135
Usability-Oriented Design of Liquid Types for Java,"Gamboa, Catarina, Canelas, Paulo, Timperley, Christopher, Fonseca, Alcides",https://doi.org/10.1109/ICSE48619.2023.00132
Tolerate Control-Flow Changes for Sound Data Race Prediction,"Zhu, Shihao, Guo, Yuqi, Zhang, Long, Cai, Yan",https://doi.org/10.1109/ICSE48619.2023.00118
KNOD: Domain Knowledge Distilled Tree Decoder for Automated Program Repair,"Jiang, Nan, Lutellier, Thibaud, Lou, Yiling, Tan, Lin, Goldwasser, Dan, Zhang, Xiangyu",https://doi.org/10.1109/ICSE48619.2023.00111
Fine-Grained Commit-Level Vulnerability Type Prediction by CWE Tree Structure,"Pan, Shengyi, Bao, Lingfeng, Xia, Xin, Lo, David, Li, Shanping",https://doi.org/10.1109/ICSE48619.2023.00088
Moving on from the Software Engineers' Gambit: An Approach to Support the Defense of Software Effort Estimates,"Matsubara, Patricia G. F., Steinmacher, Igor, Gadelha, Bruno, Conte, Tayana",https://doi.org/10.1109/ICSE48619.2023.00068
RepresentThemAll: A Universal Learning Representation of Bug Reports,"Fang, Sen, Zhang, Tao, Tan, Youshuai, Jiang, He, Xia, Xin, Sun, Xiaobing",https://doi.org/10.1109/ICSE48619.2023.00060
Responsibility in Context: On Applicability of Slicing in Semantic Regression Analysis,"Badihi, Sahar, Ahmed, Khaled, Li, Yi, Rubin, Julia",https://doi.org/10.1109/ICSE48619.2023.00057
OSSFP: Precise and Scalable C/C++ Third-Party Library Detection Using Fingerprinting Functions,"Wu, Jiahui, Xu, Zhengzi, Tang, Wei, Zhang, Lyuye, Wu, Yueming, Liu, Chengyue, Sun, Kairan, Zhao, Lida, Liu, Yang",https://doi.org/10.1109/ICSE48619.2023.00034
RAT: A Refactoring-Aware Traceability Model for Bug Localization,"Niu, Feifei, Assun\c{c",https://doi.org/10.1109/ICSE48619.2023.00028
CCRep: Learning Code Change Representations via Pre-Trained Code Model and Query Back,"Liu, Zhongxin, Tang, Zhijie, Xia, Xin, Yang, Xiaohu",https://doi.org/10.1109/ICSE48619.2023.00014
An Empirical Study on Software Bill of Materials: Where We Stand and the Road Ahead,"Xia, Boming, Bi, Tingting, Xing, Zhenchang, Lu, Qinghua, Zhu, Liming",https://doi.org/10.1109/ICSE48619.2023.00219
Rules of Engagement: Why and How Companies Participate in OSS,"Guizani, Mariam, Castro-Guzman, Aileen Abril, Sarma, Anita, Steinmacher, Igor",https://doi.org/10.1109/ICSE48619.2023.00218
VULGEN: Realistic Vulnerability Generation Via Pattern Mining and Deep Learning,"Nong, Yu, Ou, Yuzhe, Pradel, Michael, Chen, Feng, Cai, Haipeng",https://doi.org/10.1109/ICSE48619.2023.00211
ContraBERT: Enhancing Code Pre-Trained Models via Contrastive Learning,"Liu, Shangqing, Wu, Bozhi, Xie, Xiaofei, Meng, Guozhu, Liu, Yang",https://doi.org/10.1109/ICSE48619.2023.00207
An Empirical Study of Pre-Trained Model Reuse in the Hugging Face Deep Learning Model Registry,"Jiang, Wenxin, Synovic, Nicholas, Hyatt, Matt, Schorlemmer, Taylor R., Sethi, Rohan, Lu, Yung-Hsiang, Thiruvathukal, George K., Davis, James C.",https://doi.org/10.1109/ICSE48619.2023.00206
"Read It, Don't Watch It: Captioning Bug Recordings Automatically","Feng, Sidong, Xie, Mulong, Xue, Yinxing, Chen, Chunyang",https://doi.org/10.1109/ICSE48619.2023.00197
CoCoSoDa: Effective Contrastive Learning for Code Search,"Shi, Ensheng, Wang, Yanlin, Gu, Wenchao, Du, Lun, Zhang, Hongyu, Han, Shi, Zhang, Dongmei, Sun, Hongbin",https://doi.org/10.1109/ICSE48619.2023.00185
Identifying Key Classes for Initial Software Comprehension: Can We Do it Better?,"Pan, Weifeng, Du, Xin, Ming, Hua, Kim, Dae-Kyoo, Yang, Zijiang",https://doi.org/10.1109/ICSE48619.2023.00160
"Semi-Automatic, Inline and Collaborative Web Page Code Curations","Rutishauser, Roy, Meyer, Andr\'{e",https://doi.org/10.1109/ICSE48619.2023.00159
Recommending Root-Cause and Mitigation Steps for Cloud Incidents Using Large Language Models,"Ahmed, Toufique, Ghosh, Supriyo, Bansal, Chetan, Zimmermann, Thomas, Zhang, Xuchao, Rajmohan, Saravan",https://doi.org/10.1109/ICSE48619.2023.00149
Flexible and Optimal Dependency Management via Max-SMT,"Pinckney, Donald, Cassano, Federico, Guha, Arjun, Bell, Jonathan, Culpo, Massimiliano, Gamblin, Todd",https://doi.org/10.1109/ICSE48619.2023.00124
GameRTS: A Regression Testing Framework for Video Games,"Yu, Jiongchi, Wu, Yuechen, Xie, Xiaofei, Le, Wei, Ma, Lei, Chen, Yingfeng, Hu, Jingyu, Zhang, Fan",https://doi.org/10.1109/ICSE48619.2023.00122
AI-Based Question Answering Assistance for Analyzing Natural-Language Requirements,"Ezzini, Saad, Abualhaija, Sallam, Arora, Chetan, Sabetzadeh, Mehrdad",https://doi.org/10.1109/ICSE48619.2023.00113
Better Automatic Program Repair by Using Bug Reports and Tests Together,"Motwani, Manish, Brun, Yuriy",https://doi.org/10.1109/ICSE48619.2023.00109
"Code Review of Build System Specifications: Prevalence, Purposes, Patterns, and Perceptions","Nejati, Mahtab, Alfadel, Mahmoud, McIntosh, Shane",https://doi.org/10.1109/ICSE48619.2023.00108
Revisiting Neuron Coverage for DNN Testing: A Layer-Wise and Distribution-Aware Criterion,"Yuan, Yuanyuan, Pang, Qi, Wang, Shuai",https://doi.org/10.1109/ICSE48619.2023.00107
Understanding the Threats of Upstream Vulnerabilities to Downstream Projects in the Maven Ecosystem,"Wu, Yulun, Yu, Zeliang, Wen, Ming, Li, Qiang, Zou, Deqing, Jin, Hai",https://doi.org/10.1109/ICSE48619.2023.00095
PyEvolve: Automating Frequent Code Changes in Python ML Systems,"Dilhara, Malinda, Dig, Danny, Ketkar, Ameya",https://doi.org/10.1109/ICSE48619.2023.00091
Badge: Prioritizing UI Events with Hierarchical Multi-Armed Bandits for Automated UI Testing,"Ran, Dezhi, Wang, Hao, Wang, Wenyu, Xie, Tao",https://doi.org/10.1109/ICSE48619.2023.00083
On the Self-Governance and Episodic Changes in Apache Incubator Projects: An Empirical Study,"Yin, Likang, Zhang, Xiyu, Filkov, Vladimir",https://doi.org/10.1109/ICSE48619.2023.00066
Demystifying Exploitable Bugs in Smart Contracts,"Zhang, Zhuo, Zhang, Brian, Xu, Wen, Lin, Zhiqiang",https://doi.org/10.1109/ICSE48619.2023.00061
FedDebug: Systematic Debugging for Federated Learning Applications,"Gill, Waris, Anwar, Ali, Gulzar, Muhammad Ali",https://doi.org/10.1109/ICSE48619.2023.00053
AdHere: Automated Detection and Repair of Intrusive Ads,"Yan, Yutian, Zheng, Yunhui, Liu, Xinyue, Medvidovic, Nenad, Wang, Weihang",https://doi.org/10.1109/ICSE48619.2023.00051
BSHUNTER: Detecting and Tracing Defects of Bitcoin Scripts,"Zheng, Peilin, Luo, Xiapu, Zheng, Zibin",https://doi.org/10.1109/ICSE48619.2023.00037
Evaluating the Impact of Experimental Assumptions in Automated Fault Localization,"Soremekun, Ezekiel, Kirschner, Lukas, B\""{o",https://doi.org/10.1109/ICSE48619.2023.00025
Regression Fuzzing for Deep Learning Systems,"You, Hanmo, Wang, Zan, Chen, Junjie, Liu, Shuang, Li, Shuochuan",https://doi.org/10.1109/ICSE48619.2023.00019
JITfuzz: Coverage-Guided Fuzzing for JVM Just-in-Time Compilers,"Wu, Mingyuan, Lu, Minghai, Cui, Heming, Chen, Junjie, Zhang, Yuqun, Zhang, Lingming",https://doi.org/10.1109/ICSE48619.2023.00017
