title,authors,url
Fine Tuning Large Language Model for Secure Code Generation,"Li, Junjie, Sangalay, Aseem, Cheng, Cheng, Tian, Yuan, Yang, Jinqiu",https://doi.org/10.1145/3650105.3652299
StreamLLM: Enhancing Constraint Programming with Large Language Model-Generated Streamliners,"Voboril, Florentina, Ramaswamy, Vaidyanathan Peruvemba, Szeider, Stefan",https://doi.org/10.1109/NSE66660.2025.00010
LogExpert: Log-based Recommended Resolutions Generation using Large Language Model,"Wang, Jiabo, Chu, Guojun, Wang, Jingyu, Sun, Haifeng, Qi, Qi, Wang, Yuanyi, Qi, Ji, Liao, Jianxin",https://doi.org/10.1145/3639476.3639773
On the Generalizability of Deep Learning-based Code Completion Across Programming Language Versions,"Ciniselli, Matteo, Martin-Lopez, Alberto, Bavota, Gabriele",https://doi.org/10.1145/3643916.3644411
CodeFuse-13B: A Pretrained Multi-lingual Code Large Language Model,"Di, Peng, Li, Jianguo, Yu, Hang, Jiang, Wei, Cai, Wenting, Cao, Yang, Chen, Chaoyu, Chen, Dajun, Chen, Hongwei, Chen, Liang, Fan, Gang, Gong, Jie, Gong, Zi, Hu, Wen, Guo, Tingting, Lei, Zhichao, Li, Ting, Li, Zheng, Liang, Ming, Liao, Cong, Liu, Bingchang, Liu, Jiachen, Liu, Zhiwei, Lu, Shaojun, Shen, Min, Wang, Guangpei, Wang, Huan, Wang, Zhi, Xu, Zhaogui, Yang, Jiawei, Ye, Qing, Zhang, Gehao, Zhang, Yu, Zhao, Zelin, Zheng, Xunjin, Zhou, Hailian, Zhu, Lifu, Zhu, Xianying",https://doi.org/10.1145/3639477.3639719
Large Language Model for Vulnerability Detection: Emerging Results and Future Directions,"Zhou, Xin, Zhang, Ting, Lo, David",https://doi.org/10.1145/3639476.3639762
Enhancing Exploratory Testing by Large Language Model and Knowledge Graph,"Su, Yanqi, Liao, Dianshu, Xing, Zhenchang, Huang, Qing, Xie, Mulong, Lu, Qinghua, Xu, Xiwei",https://doi.org/10.1145/3597503.3639157
Large Language Model vs. Stack Overflow in Addressing Android Permission Related Challenges,"Oishwee, Sahrima Jannat, Stakhanova, Natalia, Codabux, Zadia",https://doi.org/10.1145/3643991.3644933
RepairCAT: Applying Large Language Model to Fix Bugs in AI-Generated Programs,"Jiang, Nan, Wu, Yi",https://doi.org/10.1145/3643788.3648020
An Exploratory Investigation into Code License Infringements in Large Language Model Training Datasets,"Katzy, Jonathan, Popescu, Razvan, Van Deursen, Arie, Izadi, Maliheh",https://doi.org/10.1145/3650105.3652298
Testing the Limits: Unusual Text Inputs Generation for Mobile App Crash Detection with Large Language Model,"Liu, Zhe, Chen, Chunyang, Wang, Junjie, Chen, Mengzhuo, Wu, Boyu, Tian, Zhilin, Huang, Yuekai, Hu, Jun, Wang, Qing",https://doi.org/10.1145/3597503.3639118
Context Composing for Full Line Code Completion,"Semenkin, Anton, Sokolov, Yaroslav, Vu, Evgeniia",https://doi.org/10.1145/3643796.3648446
Exploring and Improving Code Completion for Test Code,"Zhu, Tingwei, Liu, Zhongxin, Xu, Tongtong, Tang, Ze, Zhang, Tian, Pan, Minxue, Xia, Xin",https://doi.org/10.1145/3643916.3644421
CCTest: Testing and Repairing Code Completion Systems,"Li, Zongjie, Wang, Chaozheng, Liu, Zhibo, Wang, Haoxuan, Chen, Dong, Wang, Shuai, Gao, Cuiyun",https://doi.org/10.1109/ICSE48619.2023.00110
Do Generative AI Tools Ensure Green Code? An Investigative Study,"Sikand, Samarth, Mehra, Rohit, Sharma, Vibhu Saujanya, Kaulgud, Vikrant, Podder, Sanjay, Burden, Adam P.",https://doi.org/10.1145/3643691.3648588
