title,authors
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,"Sarah Fakhoury,Markus Kuppe,Shuvendu K. Lahiri,Tahina Ramananandro,Nikhil Swamy"
A Catalog of Micro Frontends Anti-patterns,"Nabson Silva,Eriky Rodrigues,Tayana Conte"
Accessibility Issues in Ad-Driven Web Applications,"Abdul Haddi Amjad,Muhammad Danish,Bless Jah,Muhammad Ali Gulzar"
Accounting for Missing Events in Statistical Information Leakage AnalysisSecurity,"Seongmin Lee,Shreyas Minocha,Marcel Böhme"
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,"Wenwei Gu,Jiazhen Gu,Jinyang Liu,Zhuangbin Chen,Jianping Zhang,Jinxi Kuang,Cong Feng,Yongqiang Yang,Michael Lyu"
A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs,"Trey Woodlief,Carl Hildebrandt,Sebastian Elbaum"
A First Look at Conventional Commits Classification,"Qunhong Zeng,Yuxia Zhang,Zhiqing Qiu,Hui Liu"
A Large-Scale Study of Model Integration in ML-Enabled Software SystemsSE for AI,"Yorick Sens,Henriette Knopp,Sven Peldszus,Thorsten Berger"
Aligning the Objective of LLM-based Program Repair,"Junjielong Xu,Ying Fu,Shin Hwei Tan,Pinjia He"
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,"Sanan Hasanov,Stefan Nagy,Paul Gazzillo"
A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,"Myeongsoo Kim,Tyler Stennett,Saurabh Sinha,Alessandro Orso"
A Multiple Representation Transformer with Optimized Abstract Syntax Tree for Efficient Code Clone Detection,"TianChen Yu,Li Yuan,Liannan Lin,Hongkui He"
Analyzing the Feasibility of Adopting Google's Nonce-Based CSP Solutions on WebsitesSecurity,"Mengxia Ren,Anhao Xiang,Chuan Yue"
An Empirical Study of Proxy Smart Contracts at the Ethereum Ecosystem ScaleBlockchain,"Mengya Zhang,Preksha Shukla,Wuqi Zhang,Zhuo Zhang,Pranav Agrawal,Zhiqiang Lin,Xiangyu Zhang,Xiaokuan Zhang"
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far Are We?,"Hyunjae Suh,Mahan Tafreshipour,Jiawei Li,Adithya Bhattiprolu,Iftekhar Ahmed"
An Empirical Study on Commit Message Generation using LLMs via In-Context Learning,"Yifan Wu,Yunpeng Wang,Ying Li,Wei Tao,Siyu Yu,Haowen Yang,Wei Jiang,Jianguo Li"
An Empirical Study on Package-Level Deprecation in Python Ecosystem,"Zhiqing Zhong,Shilin He,Haoxuan Wang,BoXi Yu,Haowen Yang,Pinjia He"
An Empirical Study on Reproducible Packaging in Open-Source Ecosystems,"Giacomo Benedetti,Oreofe Solarin,Courtney Miller,Greg Tystahl,William Enck,Christian Kästner,Alexandros Kapravelos,Alessio Merlo,Luca Verderame"
An Exploratory Study of ML Sketches and Visual Code Assistants,"Luis F. Gomes,Vincent J. Hellendoorn,Jonathan Aldrich,Rui Abreu"
An Exploratory Study on the Engineering of Security FeaturesSecurity,"Kevin Hermann,Sven Peldszus,Jan-Philipp Steghöfer,Thorsten Berger"
An Extensive Empirical Study of Nondeterministic Behavior in Static Analysis Tools,"Miao Miao,Austin Mordahl,Dakota Soles,Alice Beideck,Shiyi Wei"
An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,"Fraol Batole,David OBrien,Tien N. Nguyen,Robert Dyer,Hridesh Rajan"
Answering User Questions about Machine Learning Models through Standardized Model CardsSE for AI,"Tajkia Rahman Toma,Balreet Grewal,Cor-Paul Bezemer"
Are LLMs Correctly Integrated into Software Systems?SE for AI,"Yuchen Shao,Yuheng Huang,Jiawei Shen,Lei Ma,Ting Su,Chengcheng Wan"
Are We Learning the Right Features? A Framework for Evaluating DL-Based Software Vulnerability Detection SolutionsSecurity,"Satyaki Das,Syeda Tasnim Fabiha,Saad Shafiq,Nenad Medvidović"
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software ArtifactsSecurity,"Setu Kumar Basak,K. Virgil English,Ken Ogura,Vitesh Kambara,Bradley Reaves,Laurie Williams"
A Study of Undefined Behavior Across Foreign Function Boundaries in Rust LibrariesSecurity,"Ian McCormack,Joshua Sunshine,Jonathan Aldrich"
A Tale of Two DL Cities: When Library Tests Meet CompilerSE for AI,"Qingchao Shen,Yongqiang Tian,Haoyang Ma,Junjie Chen,Lili Huang,Ruifeng Fu,Shing-Chi Cheung,Zan Wang"
A Test Oracle for Reinforcement Learning Software based on Lyapunov Stability Control TheorySE for AIAward Winner,"Shiyu Zhang,Haoyang Song,Qixin Wang,Henghua Shen,Yu Pei"
Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,"Forough Mehralian,Ziyao He,Sam Malek"
Automated Generation of Accessibility Test Reports from Recorded User TranscriptsAward Winner,"Syed Fatiul Huq,Mahan Tafreshipour,Kate Kalcevich,Sam Malek"
Automated Test Generation For Smart Contracts via On-Chain Test Case Augmentation and MigrationBlockchain,"Jiashuo Zhang,Jiachi Chen,John Grundy,Jianbo Gao,Yanlin Wang,Ting Chen,Zhi Guan,Zhong Chen"
"Automated, Unsupervised, and Auto-parameterized Inference of Data Patterns and Anomaly DetectionSecurity","Qiaolin Qin,Heng Li,Ettore Merlo,Maxime Lamothe"
Automating a Complete Software Test Process Using LLMs: An Automotive Case Study,"Shuai Wang,Yinan Yu,Robert Feldt,Dhasarathy Parthasarathy"
BDefects4NN: A Backdoor Defect Database for Controlled Localization Studies in Neural Networks,"Yisong Xiao,Aishan Liu,Xinwei Zhang,Tianyuan Zhang,Li Tianlin,Siyuan Liang,Xianglong Liu,Yang Liu,Dacheng Tao"
Between Lines of Code: Unraveling the Distinct Patterns of Machine and Human Programmers,"Yuling Shi,Hongyu Zhang,Chengcheng Wan,Xiaodong Gu"
Boosting Code-line-level Defect Prediction with Spectrum Information and Causality Analysis,"Shiyu Sun,Yanhui Li,Lin Chen,Yuming Zhou,Jianhua Zhao"
